"cancion","album","artista","fecha_lanz","isrc","ranking_hist","puntaje","spotify_streams","spotify_playlists","spotify_alcance","spotify_pop","youtube_views","youtube_likes","tiktok_posts","tiktok_likes","tiktok_views","youtube_alcance","apple_playlists","airplay_spins","sirius_spins","deezer_playlists","deezer_alcance","amazon_playlists","pandora_streams","pandora_stations","soundcloud_streams","shazam","tidal_pop","explicito"
"MILLION DOLLAR BABY","Million Dollar Baby - Single","Tommy Richman",NA,"QM24S2402528","1","725.4",390470936,"30.716000000000001",196631588,"92",84274754,1713126,5767700,651565900,5332281936,150597040,"210","40.975000000000001",684,62,17598718,"114",18004655,"22.931000000000001",4818457,2669262,NA,"0"
"Not Like Us","Not Like Us","Kendrick Lamar",2024-04-05,"USUG12400910","2","545.9",323703884,"28.113",174597137,"92",116347040,3486739,674.7,35223547,208339025,156380351,"188","40.777999999999999",3,67,10422430,"111",7780028,"28.443999999999999",6623075,1118279,NA,"1"
"i like the way you kiss me","I like the way you kiss me","Artemas",NA,"QZJ842400387","3","538.4",601309283,"54.331000000000003",211607669,"92",122599116,2228730,3025400,275154237,3369120610,373784955,"190","74.332999999999998",536,136,36321847,"172",5022621,"5.6390000000000002",7208651,5285340,NA,"0"
"Flowers","Flowers - Single","Miley Cyrus",2023-12-01,"USSM12209777","4","444.9",2031280633,"269.80200000000002",136569078,"85",1096100899,10629796,7189811,1078757968,14603725994,3351188582,"394","1,474,799",2.182,264,24684248,"210",190260277,"203.38399999999999",NA,11822942,NA,"0"
"Houdini","Houdini","Eminem",NA,"USUG12403398","5","423.3",107034922,"7.2229999999999999",151469874,"88",77373957,3670188,16.4,NA,NA,112763851,"182","12.185",1,82,17660624,"105",4493884,"7.0060000000000002",207.179,457.017,NA,"1"
"Lovin On Me","Lovin On Me","Jack Harlow",2023-10-11,"USAT22311371","6","410.1",670665438,"105.892",175421034,"83",131148091,1392593,4202367,214943489,2938686633,2867222632,"138","522.04200000000003",4.654,86,17167254,"152",138529362,"50.981999999999999",9438601,4517131,NA,"1"
"Beautiful Things","Beautiful Things","Benson Boone",NA,"USWB12307016","7","407.2",900158751,"73.117999999999995",201585714,"86",308723145,4120760,NA,29584940,534915313,4601579812,"280","383.47800000000001",429,168,48197850,"154",65447476,"57.372",NA,9990302,NA,"0"
"Gata Only","Gata Only","FloyyMenor",2024-02-02,"QZL382406049","8","375.8",675079153,"40.094000000000001",211236940,"92",228382568,1439495,3500000,338546668,3804584163,2112581620,"160","17.221",30,87,33245595,"53",3372428,"5.7619999999999996",NA,6063523,NA,"1"
"Danza Kuduro - Cover","ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -","MUSIC LAB JPN",2024-09-06,"TCJPA2463708","9","355.7",1653018119,"1",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"1"
"BAND4BAND (feat. Lil Baby)","BAND4BAND (feat. Lil Baby)","Central Cee",NA,"USSM12404354","10","330.6",90676573,"10.4",184199419,"86",32735244,988.682,325.8,121574500,974656200,174706874,"191","3.823",117,78,10800098,"92",1005626,"842",3679709,666.302,NA,"1"
"I Had Some Help (feat. Morgan Wallen)","I Had Some Help","Post Malone",2024-10-05,"USUM72404990","11","322.1",250080413,"16.219000000000001",168766158,"91",32229063,550.191,NA,184.5,2100000,327130768,"157","62.311999999999998",71,60,12009073,"114",23155471,"21.172000000000001",1594605,963.413,NA,"1"
"The Door","The Door","Teddy Swims",NA,"USWB12402486","12","320.2",111155129,"2",263.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"2",NA,NA,NA,0,NA,"1"
"LUNCH","HIT ME HARD AND SOFT","Billie Eilish",NA,"USUM72401991","13","316.3",221636195,"13.8",197280692,"92",40022524,1307290,195.3,45889000,360017000,342107131,"244","41.344000000000001",45,138,38243636,"163",1354692,"1.2190000000000001",1313357,450.344,NA,"0"
